Día,"Nombre de la campaña",Edad,Sexo,Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-14,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,240,245,1.95,3,0.65,1.2244898,2020-12-14,2020-12-14
2020-12-14,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,257,266,0.64,1,0.64,0.37593985,2020-12-14,2020-12-14
2020-12-14,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,1186,1233,2.22,13,0.17076923,1.05433901,2020-12-14,2020-12-14
2020-12-14,EU_Conversions_ViewContent,25-34,female,880,880,0.9,5,0.18,0.56818182,2020-12-14,2020-12-14
2020-12-14,EU_Conversions_ViewContent,25-34,male,3611,3611,2.96,29,0.10206897,0.80310163,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,18-24,female,19696,19695,13.45,181,0.07430939,0.91901498,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,25-34,unknown,49,49,0.06,3,0.02,6.12244898,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,18-24,unknown,48,66,0.03,1,0.03,1.51515152,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,25-34,female,6096,6509,5.96,96,0.06208333,1.47488093,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,25-34,male,7336,7336,3.66,59,0.0620339,0.804253,2020-12-14,2020-12-14
2020-12-14,EU_Conversions,18-24,male,14442,14442,6.84,105,0.06514286,0.72704612,2020-12-14,2020-12-14
2020-12-13,EU_Conversions,18-24,male,18491,18491,8.04,103,0.07805825,0.55702774,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,25-34,unknown,16,17,0.02,0,,0,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,18-24,unknown,52,52,0.03,0,,0,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,25-34,female,1111,1111,1.09,2,0.545,0.180018,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,25-34,male,4712,4919,3.71,49,0.07571429,0.99613743,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,18-24,female,6472,6685,4.89,32,0.1528125,0.47868362,2020-12-13,2020-12-13
2020-12-13,EU_Conversions_ViewContent,18-24,male,15444,15444,10.28,79,0.13012658,0.51152551,2020-12-13,2020-12-13
2020-12-13,EU_Conversions,18-24,female,22357,22357,12.27,208,0.05899038,0.93035738,2020-12-13,2020-12-13
2020-12-13,EU_Conversions,25-34,unknown,74,74,0.03,1,0.03,1.35135135,2020-12-13,2020-12-13
2020-12-13,EU_Conversions,18-24,unknown,85,85,0.04,2,0.02,2.35294118,2020-12-13,2020-12-13
2020-12-13,EU_Conversions,25-34,female,7136,7465,5.67,113,0.05017699,1.51373074,2020-12-13,2020-12-13
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,5,5,0.01,0,,0,2020-12-13,2020-12-13
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,9,9,0,0,,0,2020-12-13,2020-12-13
2020-12-13,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,53,53,0.44,0,,0,2020-12-13,2020-12-13
